epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3911,0.93965,2.69616,1.21031,0.41305,0.45835,0.43912,0.39031,0.52955,1.55181,0.93849,0.00331825,0.00331825,0.00331825
2,158.732,0.79553,1.35292,1.06201,0.62894,0.27266,0.36419,0.31281,0.66939,2.05765,1.05957,0.00658573,0.00658573,0.00658573
3,233.385,0.89546,1.44241,1.10922,0.66233,0.14068,0.1889,0.12565,1.03384,3.95662,1.40989,0.00978722,0.00978722,0.00978722
4,308.928,0.95187,1.54558,1.13902,0.54421,0.21566,0.2204,0.14965,1.18107,3.16686,1.54765,0.009703,0.009703,0.009703
5,383.956,0.89846,1.34988,1.10755,0.36069,0.46381,0.43017,0.35379,0.68879,1.65789,1.0554,0.009604,0.009604,0.009604
6,459.385,0.85607,1.19547,1.08397,0.54718,0.47337,0.49317,0.40853,0.65078,1.59424,1.01345,0.009505,0.009505,0.009505
7,534.808,0.82439,1.09742,1.07016,0.40333,0.42188,0.3879,0.31176,0.83654,1.98061,1.26426,0.009406,0.009406,0.009406
8,609.327,0.80383,1.02626,1.05766,0.58428,0.47536,0.50563,0.42948,0.646,1.24543,1.03646,0.009307,0.009307,0.009307
9,684.952,0.78593,0.95812,1.04879,0.48512,0.4879,0.49643,0.42385,0.59115,1.43504,0.99234,0.009208,0.009208,0.009208
10,760.382,0.76562,0.89852,1.03619,0.57692,0.51478,0.55137,0.46831,0.54454,1.3076,0.96444,0.009109,0.009109,0.009109
11,836.152,0.74948,0.85425,1.03158,0.57981,0.55619,0.61397,0.53104,0.56234,1.08848,0.98499,0.00901,0.00901,0.00901
12,911.63,0.73565,0.81766,1.02124,0.54444,0.53831,0.58299,0.50841,0.53806,1.0835,0.96603,0.008911,0.008911,0.008911
13,986.915,0.72103,0.78066,1.01427,0.59853,0.55937,0.61061,0.53842,0.51965,1.05042,0.94189,0.008812,0.008812,0.008812
14,1062.78,0.71482,0.75637,1.01193,0.63516,0.44349,0.57022,0.48535,0.57085,1.27569,0.99233,0.008713,0.008713,0.008713
15,1138.01,0.70488,0.73526,1.00863,0.54195,0.57945,0.61733,0.53329,0.54052,1.08028,0.97541,0.008614,0.008614,0.008614
16,1214.03,0.69707,0.70771,1.00322,0.68125,0.49997,0.58851,0.51799,0.54764,1.11861,0.96995,0.008515,0.008515,0.008515
17,1289.41,0.68781,0.68109,0.99732,0.61657,0.53894,0.5756,0.51461,0.50224,1.09938,0.95433,0.008416,0.008416,0.008416
18,1365.02,0.68751,0.67417,0.99866,0.6799,0.58212,0.646,0.57593,0.48865,0.86662,0.92745,0.008317,0.008317,0.008317
19,1440.58,0.6721,0.6503,0.99196,0.60858,0.59879,0.6319,0.55749,0.50528,0.98054,0.93712,0.008218,0.008218,0.008218
20,1516.03,0.66982,0.63158,0.9907,0.59399,0.62598,0.62615,0.54703,0.50689,0.97449,0.93888,0.008119,0.008119,0.008119
21,1591.54,0.66152,0.62643,0.98819,0.67203,0.59109,0.69035,0.61301,0.52288,1.00272,0.96119,0.00802,0.00802,0.00802
22,1666.79,0.65626,0.61113,0.98585,0.68258,0.55462,0.61521,0.54728,0.51013,0.95215,0.9358,0.007921,0.007921,0.007921
23,1742.26,0.65114,0.59201,0.98149,0.57111,0.66815,0.67288,0.6013,0.50289,0.88007,0.95221,0.007822,0.007822,0.007822
24,1817.43,0.64539,0.57984,0.97839,0.61334,0.64613,0.6756,0.59434,0.48352,0.81379,0.93525,0.007723,0.007723,0.007723
25,1892.63,0.63683,0.57231,0.97603,0.65066,0.63365,0.67504,0.60053,0.51145,0.85413,0.96049,0.007624,0.007624,0.007624
26,1967.82,0.63254,0.5611,0.97317,0.72611,0.57583,0.64848,0.57701,0.51724,0.96867,0.96398,0.007525,0.007525,0.007525
27,2042.94,0.62836,0.54963,0.97331,0.76034,0.53832,0.63838,0.56227,0.50973,0.99791,0.97031,0.007426,0.007426,0.007426
